Make,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Vehicle Size,Vehicle Style,city mpg,highway MPG,MSRP
chevrolet,sonic,2015,138.0,4.0,automatic,compact,sedan,27,37,19680
audi,100,1992,172.0,6.0,automatic,midsize,wagon,16,20,2000
mazda,truck,2003,135.0,4.0,manual,compact,regular cab pickup,21,26,13930
gmc,sierra 1500hd,2006,300.0,8.0,automatic,large,crew cab pickup,13,16,36525
volvo,v60,2015,325.0,6.0,automatic,midsize,wagon,19,28,45150
toyota,rav4,2016,176.0,4.0,automatic,midsize,4dr suv,24,31,24350
oldsmobile,eighty-eight royale,1995,225.0,6.0,automatic,large,sedan,17,26,2000
volkswagen,jetta sportwagen,2014,140.0,4.0,automated_manual,compact,wagon,29,39,27665
cadillac,cts,2015,272.0,4.0,automatic,large,sedan,19,28,57670
suzuki,equator,2011,152.0,4.0,automatic,compact,extended cab pickup,17,22,22479
mitsubishi,eclipse spyder,2011,162.0,4.0,automatic,compact,convertible,20,27,27999
chevrolet,hhr,2010,155.0,4.0,manual,compact,wagon,22,32,19030
volkswagen,jetta sportwagen,2012,140.0,4.0,automated_manual,compact,wagon,29,39,26640
lexus,es 250,1990,156.0,6.0,manual,compact,sedan,17,24,2000
infiniti,g37,2009,330.0,6.0,automatic,midsize,coupe,18,26,35900
chevrolet,avalanche,2011,320.0,8.0,automatic,large,crew cab pickup,15,21,36300
mercedes-benz,600-class,1993,389.0,12.0,automatic,large,coupe,11,15,3211
hyundai,tucson,2017,175.0,4.0,automated_manual,compact,4dr suv,25,30,25550
land rover,range rover sport,2015,510.0,8.0,automatic,midsize,4dr suv,14,19,79995
dodge,ram 250,1991,170.0,8.0,manual,large,extended cab pickup,11,13,2000
volkswagen,gli,2008,200.0,4.0,manual,compact,sedan,20,29,24300
infiniti,g37,2009,328.0,6.0,automatic,midsize,sedan,18,26,33700
pontiac,grand am,2004,140.0,4.0,manual,midsize,sedan,23,33,17070
infiniti,jx,2013,265.0,6.0,automatic,large,4dr suv,18,23,42650
ford,mustang,2015,310.0,4.0,manual,midsize,convertible,22,31,34800
volkswagen,cc,2017,200.0,4.0,automated_manual,midsize,sedan,22,31,37820
chevrolet,blazer,2003,190.0,6.0,automatic,midsize,4dr suv,15,21,24695
pontiac,montana,2003,185.0,6.0,automatic,midsize,passenger minivan,16,22,33790
lincoln,mkc,2016,240.0,4.0,automatic,compact,4dr suv,19,26,48950
subaru,baja,2005,210.0,4.0,manual,compact,crew cab pickup,17,23,24345
volvo,xc90,2017,250.0,4.0,automatic,large,4dr suv,22,26,45750
suzuki,grand vitara,2011,166.0,4.0,automatic,compact,4dr suv,19,25,23449
cadillac,ats,2017,335.0,6.0,automatic,midsize,sedan,19,27,45995
buick,lesabre,2005,205.0,6.0,automatic,large,sedan,18,27,32385
honda,civic,2016,158.0,4.0,automatic,midsize,sedan,31,41,21040
toyota,matrix,2012,158.0,4.0,automatic,compact,4dr hatchback,20,26,21715
ford,shelby gt500,2014,662.0,8.0,manual,midsize,coupe,15,24,55110
bmw,x6 m,2017,567.0,8.0,automatic,midsize,4dr suv,14,19,102200
hyundai,tucson,2016,175.0,4.0,automated_manual,compact,4dr suv,24,28,31300
mercedes-benz,500-class,1992,322.0,8.0,automatic,midsize,sedan,13,16,3245
volkswagen,eos,2015,200.0,4.0,automated_manual,compact,convertible,22,30,42745
volkswagen,passat,2015,170.0,4.0,automatic,midsize,sedan,24,36,28115
toyota,sienna,2015,266.0,6.0,automatic,large,passenger minivan,18,25,31430
land rover,discovery series ii,2001,188.0,8.0,automatic,midsize,4dr suv,12,16,34350
oldsmobile,ciera,1996,120.0,4.0,automatic,midsize,sedan,21,29,2000
land rover,range rover evoque,2016,240.0,4.0,automatic,compact,2dr suv,21,30,46675
suzuki,esteem,2002,122.0,4.0,manual,compact,wagon,24,31,13799
mitsubishi,lancer evolution,2015,291.0,4.0,automated_manual,compact,sedan,17,22,38995
nissan,murano,2017,260.0,6.0,automatic,midsize,4dr suv,21,28,39180
dodge,neon,2004,225.0,4.0,manual,compact,sedan,19,28,20450
buick,roadmaster,1995,260.0,8.0,automatic,large,wagon,15,23,2000
volkswagen,rabbit,2009,170.0,5.0,automatic,compact,2dr hatchback,20,29,17400
cadillac,eldorado,2002,300.0,8.0,automatic,large,coupe,16,25,47660
dodge,grand caravan,2016,283.0,6.0,automatic,midsize,passenger minivan,17,25,26195
suzuki,sx4,2013,148.0,4.0,automatic,compact,4dr hatchback,23,29,20449
volvo,xc90,2016,316.0,4.0,automatic,large,4dr suv,20,25,65700
porsche,panamera,2016,570.0,8.0,automated_manual,large,sedan,15,24,200500
cadillac,cts,2015,272.0,4.0,automatic,large,sedan,20,30,51270
porsche,911,2017,420.0,6.0,manual,compact,coupe,20,28,103400
pontiac,firebird,2000,305.0,8.0,unknown,midsize,convertible,15,23,9567
gmc,sierra 1500 classic,2007,295.0,8.0,automatic,large,crew cab pickup,13,17,31965
ford,expedition,2017,365.0,6.0,automatic,large,4dr suv,15,19,61061
saab,9-3 griffin,2012,220.0,4.0,automatic,compact,convertible,18,28,40840
oldsmobile,alero,2003,170.0,6.0,automatic,midsize,coupe,18,27,22935
chevrolet,silverado 1500 classic,2007,295.0,8.0,automatic,large,extended cab pickup,14,19,25915
dodge,challenger,2017,485.0,8.0,manual,large,coupe,14,23,42795
gmc,vandura,1994,200.0,8.0,automatic,large,cargo van,12,16,2000
mercedes-benz,s-class,2017,449.0,8.0,automatic,large,sedan,16,25,99600
mercedes-benz,gl-class,2015,550.0,8.0,automatic,large,4dr suv,13,17,119450
mitsubishi,3000gt,1999,218.0,6.0,manual,compact,2dr hatchback,17,23,5306
subaru,wrx,2016,268.0,4.0,manual,compact,sedan,20,27,26595
lotus,evora 400,2017,400.0,6.0,manual,compact,coupe,21,39,91900
infiniti,q70,2014,360.0,6.0,automatic,large,sedan,29,34,55650
buick,enclave,2016,288.0,6.0,automatic,midsize,4dr suv,15,22,47515
volkswagen,beetle convertible,2015,150.0,4.0,manual,compact,convertible,30,40,29095
audi,q5,2016,240.0,6.0,automatic,midsize,4dr suv,24,31,50200
porsche,911,2015,350.0,6.0,manual,compact,coupe,18,26,101600
bmw,6 series,2015,315.0,6.0,automatic,midsize,convertible,20,29,86600
lamborghini,gallardo,2014,560.0,10.0,automated_manual,compact,convertible,13,20,225400
honda,passport,2001,205.0,6.0,automatic,midsize,4dr suv,15,20,28050
ford,fusion hybrid,2017,188.0,4.0,automatic,midsize,sedan,43,41,25675
chevrolet,trailblazer,2008,285.0,6.0,automatic,midsize,4dr suv,14,20,29880
gmc,s-15,1990,105.0,4.0,manual,compact,regular cab pickup,21,25,2000
ferrari,456m,2001,442.0,12.0,manual,compact,coupe,9,15,219775
chevrolet,trailblazer,2009,285.0,6.0,automatic,midsize,4dr suv,14,20,29155
gmc,sierra 1500,2015,285.0,6.0,automatic,large,regular cab pickup,17,22,30610
saab,9-5,2009,260.0,4.0,automatic,midsize,sedan,17,27,38380
chevrolet,corvette,2016,455.0,8.0,manual,compact,convertible,17,29,59400
gmc,sierra 1500,2016,355.0,8.0,automatic,large,crew cab pickup,16,23,51090
cadillac,cts,2017,268.0,4.0,automatic,large,sedan,21,29,53695
cadillac,cts coupe,2014,318.0,6.0,automatic,midsize,coupe,18,27,47995
nissan,xterra,2014,261.0,6.0,automatic,midsize,4dr suv,15,20,31370
volkswagen,cc,2016,200.0,4.0,manual,midsize,sedan,21,32,34655
lexus,hs 250h,2011,187.0,4.0,automatic,midsize,sedan,35,34,36330
ferrari,360,2004,400.0,8.0,manual,compact,coupe,10,15,147332
oldsmobile,cutlass ciera,1994,160.0,6.0,automatic,midsize,wagon,17,26,2000
ford,f-150,2016,385.0,8.0,automatic,large,crew cab pickup,15,21,46895
dodge,stratus,2004,150.0,4.0,automatic,midsize,sedan,20,27,19970
chevrolet,silverado 1500,2017,285.0,6.0,automatic,large,crew cab pickup,17,22,39185
honda,fit,2017,130.0,4.0,manual,compact,4dr hatchback,29,36,17900
toyota,tacoma,2016,278.0,6.0,manual,compact,crew cab pickup,17,21,32460
land rover,range rover sport,2016,510.0,8.0,automatic,midsize,4dr suv,14,19,93295
acura,tsx,2013,201.0,4.0,automatic,midsize,sedan,22,31,33610
ford,e-150,1997,200.0,6.0,automatic,midsize,cargo van,14,18,2000
toyota,corolla,2015,132.0,4.0,manual,compact,sedan,28,37,16950
toyota,tacoma,2015,159.0,4.0,automatic,compact,extended cab pickup,19,24,22525
dodge,challenger,2015,305.0,6.0,automatic,large,coupe,19,30,26995
ford,f-250,1999,220.0,8.0,manual,large,regular cab pickup,12,16,3269
volkswagen,gti,2013,200.0,4.0,manual,compact,2dr hatchback,21,31,30395
audi,a3,2016,170.0,4.0,automated_manual,compact,convertible,24,35,36600
subaru,outback,2015,175.0,4.0,automatic,midsize,4dr suv,25,33,26995
acura,rsx,2006,155.0,4.0,automatic,compact,2dr hatchback,22,31,22375
gmc,sierra 1500 classic,2007,285.0,8.0,automatic,large,extended cab pickup,15,19,25215
acura,integra,2001,140.0,4.0,automatic,compact,sedan,21,28,22400
volkswagen,golf alltrack,2017,170.0,4.0,manual,compact,wagon,22,30,29430
bmw,3 series,2016,240.0,4.0,manual,midsize,sedan,22,34,38350
nissan,xterra,2014,261.0,6.0,automatic,midsize,4dr suv,16,22,23390
rolls-royce,ghost,2013,563.0,12.0,automatic,large,sedan,13,21,296000
hyundai,santa fe,2017,290.0,6.0,automatic,midsize,4dr suv,17,22,41150
gmc,canyon,2012,242.0,5.0,automatic,compact,crew cab pickup,16,21,29125
mercedes-benz,maybach,2016,523.0,12.0,automatic,large,sedan,13,20,189350
chevrolet,malibu,2015,196.0,4.0,automatic,midsize,sedan,25,36,28195
mazda,3,2015,155.0,4.0,automatic,compact,sedan,30,41,23795
dodge,intrepid,2002,200.0,6.0,automatic,large,sedan,18,26,20810
dodge,charger,2017,370.0,8.0,automatic,large,sedan,16,25,34790
land rover,range rover,2015,340.0,6.0,automatic,large,4dr suv,17,23,95195
chevrolet,silverado 1500,2017,285.0,6.0,automatic,large,regular cab pickup,18,24,29610
volkswagen,jetta,2015,115.0,4.0,manual,midsize,sedan,25,34,16215
audi,q7,2014,280.0,6.0,automatic,large,4dr suv,16,22,47700
subaru,xv crosstrek,2013,148.0,4.0,automatic,compact,4dr suv,25,33,22995
chevrolet,corvette,2016,455.0,8.0,manual,compact,convertible,17,29,63855
mercedes-benz,gle-class,2017,302.0,6.0,automatic,midsize,4dr suv,18,23,52000
toyota,sequoia,2016,381.0,8.0,automatic,large,4dr suv,13,17,45325
subaru,baja,2006,165.0,4.0,automatic,compact,crew cab pickup,19,25,23295
dodge,shadow,1993,100.0,4.0,manual,compact,convertible,22,29,2000
toyota,tundra,2015,381.0,8.0,automatic,large,extended cab pickup,13,17,34710
mazda,cx-5,2014,155.0,4.0,automatic,midsize,4dr suv,25,31,24045
gmc,sierra 1500 hybrid,2013,332.0,8.0,automatic,large,crew cab pickup,20,23,48335
suzuki,xl-7,2004,185.0,6.0,automatic,midsize,4dr suv,15,20,27499
nissan,240sx,1998,155.0,4.0,manual,compact,coupe,20,25,4299
subaru,legacy,2016,175.0,4.0,automatic,midsize,sedan,26,36,24145
lexus,nx 300h,2015,194.0,4.0,automatic,midsize,4dr suv,33,30,41310
chevrolet,malibu,2016,160.0,4.0,automatic,midsize,sedan,27,37,23120
mercedes-benz,slc-class,2017,241.0,4.0,automatic,compact,convertible,25,32,47950
toyota,4runner,2014,270.0,6.0,automatic,midsize,4dr suv,17,22,35725
honda,hr-v,2017,141.0,4.0,automatic,compact,4dr suv,27,31,23515
maserati,ghibli,2015,404.0,6.0,automatic,midsize,sedan,15,25,77900
oldsmobile,custom cruiser,1992,170.0,8.0,automatic,large,wagon,15,23,2000
volkswagen,jetta,2016,170.0,4.0,automatic,midsize,sedan,25,36,25380
lincoln,mks,2015,305.0,6.0,automatic,large,sedan,19,28,38850
volkswagen,tiguan,2015,200.0,4.0,automatic,compact,4dr suv,20,26,35565
dodge,intrepid,2003,244.0,6.0,automatic,large,sedan,17,25,24875
acura,tlx,2016,290.0,6.0,automatic,midsize,sedan,21,31,41575
infiniti,g37 sedan,2010,328.0,6.0,automatic,midsize,sedan,19,27,33250
chevrolet,impala,2016,195.0,4.0,automatic,large,sedan,22,31,29460
infiniti,g sedan,2011,328.0,6.0,automatic,midsize,sedan,18,25,41550
nissan,240sx,1997,155.0,4.0,manual,compact,coupe,19,26,4182
suzuki,verona,2005,155.0,6.0,automatic,midsize,sedan,18,25,19349
cadillac,srx,2015,308.0,6.0,automatic,midsize,4dr suv,17,24,48920
bmw,8 series,1997,322.0,12.0,automatic,midsize,coupe,12,19,7624
chevrolet,equinox,2015,182.0,4.0,automatic,compact,4dr suv,20,29,33670
chrysler,tc,1991,141.0,6.0,automatic,compact,convertible,16,22,2000
honda,fit,2017,130.0,4.0,automatic,compact,4dr hatchback,32,37,21265
nissan,frontier,2017,261.0,6.0,automatic,compact,crew cab pickup,15,21,29170
volkswagen,phaeton,2004,335.0,8.0,automatic,large,sedan,14,21,64600
acura,mdx,2017,290.0,6.0,automatic,midsize,4dr suv,18,26,52360
infiniti,q50,2016,208.0,4.0,automatic,midsize,sedan,22,28,35950
pontiac,aztek,2003,185.0,6.0,automatic,midsize,4dr suv,17,24,20870
audi,s4,2016,333.0,6.0,automated_manual,midsize,sedan,18,28,56100
suzuki,sx4,2012,150.0,4.0,manual,compact,4dr hatchback,22,30,16799
bentley,continental gt3-r,2015,572.0,8.0,automatic,midsize,coupe,13,23,337000
honda,ridgeline,2013,250.0,6.0,automatic,large,crew cab pickup,15,21,35030
acura,rsx,2006,155.0,4.0,automatic,compact,2dr hatchback,22,31,21225
cadillac,ats coupe,2016,272.0,4.0,automatic,compact,coupe,22,31,37995
volvo,v60,2017,240.0,4.0,automatic,midsize,wagon,25,36,41750
nissan,frontier,2016,261.0,6.0,automatic,compact,crew cab pickup,15,21,34360
ford,fusion,2016,231.0,4.0,automatic,midsize,sedan,22,31,33270
lexus,is 250 c,2015,204.0,6.0,automatic,compact,convertible,21,30,43360
pontiac,g8,2008,256.0,6.0,automatic,large,sedan,17,25,26910
nissan,nx,1992,140.0,4.0,manual,compact,2dr hatchback,20,28,2000
cadillac,srx,2015,308.0,6.0,automatic,midsize,4dr suv,17,24,46030
land rover,range rover evoque,2016,240.0,4.0,automatic,compact,4dr suv,21,30,50475
cadillac,srx,2015,308.0,6.0,automatic,midsize,4dr suv,16,23,51730
ford,e-150,1998,200.0,6.0,automatic,midsize,passenger van,12,17,2169
mazda,2,2013,100.0,4.0,manual,compact,4dr hatchback,29,35,14720
toyota,sequoia,2017,381.0,8.0,automatic,large,4dr suv,13,17,48685
chrysler,le baron,1994,141.0,6.0,automatic,compact,convertible,18,26,2000
gmc,s-15,1990,160.0,6.0,manual,compact,regular cab pickup,15,19,2000
mercedes-benz,cl-class,2014,429.0,8.0,automatic,large,coupe,15,24,116600
mazda,3,2015,155.0,4.0,manual,compact,sedan,29,41,16945
mercedes-benz,gl-class,2016,240.0,6.0,automatic,large,4dr suv,19,26,63600
cadillac,ats coupe,2015,272.0,4.0,automatic,compact,coupe,20,29,48205
lincoln,mkc,2017,240.0,4.0,automatic,compact,4dr suv,21,28,45475
hyundai,excel,1993,81.0,4.0,manual,compact,2dr hatchback,25,30,2000
audi,r8,2014,525.0,10.0,automated_manual,compact,coupe,13,22,160300
volkswagen,gti,2012,200.0,4.0,automated_manual,compact,2dr hatchback,24,33,25095
saab,9-3,2010,207.0,4.0,manual,compact,convertible,20,29,39990
mazda,b-series truck,2008,207.0,6.0,manual,compact,extended cab pickup,15,19,22045
pontiac,sunbird,1992,111.0,4.0,manual,compact,sedan,22,32,2000
maserati,quattroporte,2015,523.0,8.0,automatic,large,sedan,13,22,140500
suzuki,aerio,2006,155.0,4.0,manual,compact,wagon,22,28,14599
honda,ridgeline,2017,280.0,6.0,automatic,large,crew cab pickup,18,25,42870
acura,legend,1993,230.0,6.0,manual,midsize,coupe,15,23,2000
mitsubishi,diamante,2003,205.0,6.0,automatic,midsize,sedan,16,23,28447
toyota,sienna,2016,266.0,6.0,automatic,large,passenger minivan,16,23,43040
kia,sorento,2017,290.0,6.0,automatic,midsize,4dr suv,18,25,33100
ford,e-150,1997,200.0,6.0,automatic,midsize,passenger van,12,17,2000
aston martin,dbs,2011,510.0,12.0,automatic,midsize,convertible,12,18,286739
dodge,ram cargo,2001,175.0,6.0,automatic,compact,cargo van,13,15,18695
kia,optima hybrid,2015,199.0,4.0,automatic,midsize,sedan,36,40,25990
nissan,truck,1997,134.0,4.0,manual,compact,extended cab pickup,19,23,2837
dodge,caliber,2010,158.0,4.0,manual,compact,wagon,23,31,18740
volvo,740,1991,114.0,4.0,automatic,midsize,wagon,18,24,2000
gmc,terrain,2017,182.0,4.0,automatic,compact,4dr suv,21,31,24070
toyota,tundra,2015,381.0,8.0,automatic,large,extended cab pickup,13,17,35040
toyota,tundra,2016,381.0,8.0,automatic,large,extended cab pickup,13,17,34220
dodge,dakota,2010,210.0,6.0,automatic,compact,crew cab pickup,15,20,26325
audi,s3,2016,292.0,4.0,automated_manual,compact,sedan,23,31,48650
lincoln,mkx,2017,303.0,6.0,automatic,midsize,4dr suv,16,23,48055
mercedes-benz,gle-class coupe,2017,362.0,6.0,automatic,midsize,4dr suv,17,23,69650
nissan,armada,2014,317.0,8.0,automatic,large,4dr suv,13,19,37590
cadillac,allante,1993,295.0,8.0,automatic,compact,convertible,13,20,2358
chevrolet,silverado 1500 classic,2007,295.0,8.0,automatic,large,extended cab pickup,14,19,30465
cadillac,escalade esv,2017,420.0,8.0,automatic,large,4dr suv,15,22,81395
oldsmobile,cutlass,1997,155.0,6.0,automatic,midsize,sedan,18,26,2000
subaru,xv crosstrek,2015,148.0,4.0,manual,compact,4dr suv,23,31,21595
cadillac,ct6,2017,404.0,6.0,automatic,large,sedan,18,26,87495
dodge,charger,2015,292.0,6.0,automatic,large,sedan,19,31,27995
chevrolet,silverado 1500,2016,285.0,6.0,automatic,large,regular cab pickup,17,22,38890
ford,f-250,1997,220.0,8.0,manual,large,extended cab pickup,12,17,3241
toyota,tacoma,2016,278.0,6.0,automatic,compact,crew cab pickup,18,23,38180
bmw,5 series,2015,241.0,4.0,automatic,large,sedan,22,33,52250
bmw,6 series,2017,445.0,8.0,automatic,midsize,convertible,17,24,96500
ford,focus,2017,123.0,3.0,manual,compact,sedan,30,42,18175
toyota,tundra,2017,381.0,8.0,automatic,large,crew cab pickup,13,18,46980
nissan,altima,2015,270.0,6.0,automatic,midsize,sedan,22,32,26450
bmw,2 series,2016,240.0,4.0,manual,compact,coupe,22,34,32850
chevrolet,trailblazer,2009,285.0,6.0,automatic,midsize,4dr suv,14,20,33595
infiniti,m35,2010,303.0,6.0,automatic,large,sedan,17,25,45800
gmc,acadia,2015,281.0,6.0,automatic,midsize,4dr suv,17,24,42095
toyota,sienna,2017,296.0,6.0,automatic,large,passenger minivan,19,27,36310
pontiac,sunbird,1992,111.0,4.0,manual,compact,sedan,22,32,2000
subaru,wrx,2015,268.0,4.0,automatic,compact,sedan,19,25,29695
pontiac,sunfire,2005,140.0,4.0,manual,compact,coupe,23,32,10895
lincoln,town car,2011,239.0,8.0,automatic,large,sedan,16,24,47000
mitsubishi,eclipse,2010,265.0,6.0,manual,compact,2dr hatchback,16,25,28089
toyota,tundra,2017,310.0,8.0,automatic,large,crew cab pickup,14,18,37200
toyota,prius,2016,121.0,4.0,automatic,compact,4dr hatchback,54,50,28100
chevrolet,uplander,2006,201.0,6.0,automatic,midsize,passenger minivan,16,23,22750
honda,element,2009,166.0,4.0,manual,compact,4dr suv,18,23,22785
chrysler,pt cruiser,2008,150.0,4.0,manual,compact,convertible,21,26,18430
honda,pilot,2017,280.0,6.0,automatic,midsize,4dr suv,20,27,41670
nissan,300zx,1995,222.0,6.0,manual,compact,coupe,17,22,2702
ford,escape,2015,178.0,4.0,automatic,compact,4dr suv,23,32,25650
dodge,dakota,2008,210.0,6.0,manual,compact,extended cab pickup,16,20,20470
gmc,vandura,1994,200.0,6.0,automatic,midsize,cargo van,15,20,2000
ford,taurus,2016,288.0,6.0,automatic,large,sedan,17,24,36310
toyota,pickup,1995,116.0,4.0,manual,compact,extended cab pickup,17,20,2553
chevrolet,silverado 1500,2016,285.0,6.0,automatic,large,regular cab pickup,18,24,29510
bmw,m,2006,330.0,6.0,manual,compact,coupe,14,22,49300
audi,90,1994,172.0,6.0,manual,compact,sedan,17,22,2000
volkswagen,jetta,2015,210.0,4.0,automatic,midsize,sedan,24,32,30380
lincoln,mkx,2017,303.0,6.0,automatic,midsize,4dr suv,16,23,44045
volvo,960,1997,181.0,6.0,automatic,midsize,wagon,16,24,2000
mazda,3,2016,155.0,4.0,automatic,compact,sedan,30,41,23595
chrysler,crossfire,2007,215.0,6.0,manual,compact,2dr hatchback,15,23,29510
subaru,outback,2017,175.0,4.0,automatic,midsize,4dr suv,25,32,35995
land rover,freelander,2003,174.0,6.0,automatic,compact,4dr suv,15,19,31575
acura,rdx,2017,279.0,6.0,automatic,midsize,4dr suv,19,27,37070
chevrolet,malibu,2015,196.0,4.0,automatic,midsize,sedan,25,36,23610
honda,odyssey,2016,248.0,6.0,automatic,large,passenger minivan,19,28,36050
