Name,Brand,Model,Price,Year,Fuel_Type,Transmission,Horsepower,Mileage,Color,Body_Type,Doors,Seats,Image_URL
Mercedes GLE 450,Mercedes,GLE,72000,2024,Hybrid,Automatic,362,22,White,SUV,4,7,/static/images/mercedes_gle_450.jpg
Nissan Altima SV,Nissan,Altima,28000,2024,Petrol,Automatic,188,32,Silver,Sedan,4,5,/static/images/nissan_altima_sv.jpg
Nissan Rogue SL,Nissan,Rogue,35000,2024,Petrol,Automatic,181,30,Black,SUV,4,5,/static/images/nissan_rogue_sl.jpg
Nissan Sentra SR,Nissan,Sentra,23000,2024,Petrol,Automatic,149,35,Blue,Sedan,4,5,/static/images/nissan_sentra_sr.jpg
Porsche 911 Carrera,Porsche,911,115000,2024,Petrol,Automatic,379,20,Yellow,Coupe,2,4,/static/images/porsche_911_carrera.jpg
Tesla Model 3 Long Range,Tesla,Model 3,48000,2024,Electric,Automatic,346,120,White,Sedan,4,5,/static/images/tesla_model_3_long_range.jpg
Tesla Model S Plaid,Tesla,Model S,95000,2024,Electric,Automatic,1020,100,Red,Sedan,4,5,/static/images/tesla_model_s_plaid.jpg
Tesla Model Y Performance,Tesla,Model Y,62000,2024,Electric,Automatic,456,115,Black,SUV,4,7,/static/images/tesla_model_y_performance.jpg
Toyota Camry XSE,Toyota,Camry,32000,2024,Petrol,Automatic,203,28,Black,Sedan,4,5,/static/images/toyota_camry_xse.jpg
Toyota Corolla LE,Toyota,Corolla,25000,2024,Petrol,Automatic,169,32,White,Sedan,4,5,/static/images/toyota_corolla_le.jpg
Toyota RAV4 Adventure,Toyota,RAV4,38000,2024,Hybrid,Automatic,219,35,Blue,SUV,4,5,/static/images/toyota_rav4_adventure.jpg
Volkswagen Golf GTI,Volkswagen,Golf,32000,2024,Petrol,Manual,228,30,White,Hatchback,4,5,/static/images/volkswagen_golf_gti.jpg
Volkswagen Jetta SEL,Volkswagen,Jetta,26000,2024,Petrol,Automatic,158,34,Gray,Sedan,4,5,/static/images/volkswagen_jetta_sel.jpg
