Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Hyundai,Genesis,2016,regular unleaded,311.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Large,Sedan,29,18,1439,38750
Nissan,Leaf,2015,electric,,0.0,DIRECT_DRIVE,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,101,126,2009,35120
Subaru,Impreza WRX,2013,premium unleaded (required),265.0,4.0,MANUAL,all wheel drive,4.0,Performance,Compact,Sedan,25,19,640,28295
Infiniti,Q50,2017,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,29,20,190,44650
Kia,Rio,2015,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,37,27,1720,18090
Buick,LaCrosse,2015,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Hybrid",Large,Sedan,36,25,155,33635
Dodge,Ram Cargo,2002,regular unleaded,175.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Large,Cargo Van,15,13,1851,21430
Toyota,Camry,2016,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,35,25,2031,23070
Oldsmobile,Ciera,1995,regular unleaded,160.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Wagon,26,17,26,2000
Hyundai,Sonata Hybrid,2016,regular unleaded,193.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Midsize,Sedan,43,39,1439,30100
Lincoln,LS,2005,premium unleaded (required),232.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,24,17,61,36990
Mitsubishi,i-MiEV,2014,electric,,,DIRECT_DRIVE,rear wheel drive,4.0,Hatchback,Compact,4dr Hatchback,99,126,436,22995
Honda,Fit EV,2013,electric,,0.0,DIRECT_DRIVE,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,105,132,2202,36625
Dodge,Ramcharger,1993,regular unleaded,230.0,8.0,AUTOMATIC,four wheel drive,2.0,,Midsize,2dr SUV,15,11,1851,2000
Ford,Probe,1995,regular unleaded,164.0,6.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,24,18,5657,2000
Porsche,Boxster,2016,premium unleaded (required),315.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,28,20,1715,63900
HUMMER,H3,2010,regular unleaded,239.0,5.0,AUTOMATIC,four wheel drive,4.0,Luxury,Midsize,4dr SUV,18,14,130,38365
Suzuki,Esteem,2000,regular unleaded,122.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,32,24,481,2000
Chevrolet,Impala,2016,regular unleaded,195.0,4.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,31,22,1385,27095
Dodge,Dakota,2009,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Compact,Extended Cab Pickup,20,15,1851,22560
Ford,F-150,2017,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,21,15,5657,35870
Chevrolet,Sonic,2015,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,37,27,1385,19680
Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000
Mazda,Truck,2003,regular unleaded,135.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,Regular Cab Pickup,26,21,586,13930
GMC,Sierra 1500HD,2006,regular unleaded,300.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,16,13,549,36525
Volvo,V60,2015,regular unleaded,325.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Wagon,28,19,870,45150
Toyota,RAV4,2016,regular unleaded,176.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,31,24,2031,24350
Oldsmobile,Eighty-Eight Royale,1995,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,26,17,26,2000
Volkswagen,Jetta SportWagen,2014,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,27665
Cadillac,CTS,2015,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,28,19,1624,57670
Suzuki,Equator,2011,regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Extended Cab Pickup,22,17,481,22479
Mitsubishi,Eclipse Spyder,2011,regular unleaded,162.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,27,20,436,27999
Chevrolet,HHR,2010,flex-fuel (unleaded/E85),155.0,4.0,MANUAL,front wheel drive,4.0,Flex Fuel,Compact,Wagon,32,22,1385,19030
Volkswagen,Jetta SportWagen,2012,diesel,140.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,39,29,873,26640
Lexus,ES 250,1990,regular unleaded,156.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,24,17,454,2000
Infiniti,G37,2009,premium unleaded (required),330.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,26,18,190,35900
Chevrolet,Avalanche,2011,flex-fuel (unleaded/E85),320.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,36300
Mercedes-Benz,600-Class,1993,regular unleaded,389.0,12.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Large,Coupe,15,11,617,3211
Hyundai,Tucson,2017,regular unleaded,175.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Crossover,Compact,4dr SUV,30,25,1439,25550
Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Luxury,High-Performance",Midsize,4dr SUV,19,14,258,79995
Dodge,RAM 250,1991,regular unleaded,170.0,8.0,MANUAL,rear wheel drive,2.0,,Large,Extended Cab Pickup,13,11,1851,2000
Volkswagen,GLI,2008,premium unleaded (required),200.0,4.0,MANUAL,front wheel drive,4.0,Performance,Compact,Sedan,29,20,873,24300
Infiniti,G37,2009,premium unleaded (required),328.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,26,18,190,33700
Pontiac,Grand Am,2004,regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,33,23,210,17070
Infiniti,JX,2013,premium unleaded (recommended),265.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Large,4dr SUV,23,18,190,42650
Ford,Mustang,2015,premium unleaded (recommended),310.0,4.0,MANUAL,rear wheel drive,2.0,High-Performance,Midsize,Convertible,31,22,5657,34800
Volkswagen,CC,2017,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,31,22,873,37820
Chevrolet,Blazer,2003,regular unleaded,190.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,21,15,1385,24695
Pontiac,Montana,2003,regular unleaded,185.0,6.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Passenger Minivan,22,16,210,33790
Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,26,19,61,48950
Subaru,Baja,2005,premium unleaded (required),210.0,4.0,MANUAL,all wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,23,17,640,24345
Volvo,XC90,2017,premium unleaded (recommended),250.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Large,4dr SUV,26,22,870,45750
Suzuki,Grand Vitara,2011,regular unleaded,166.0,4.0,AUTOMATIC,rear wheel drive,4.0,Crossover,Compact,4dr SUV,25,19,481,23449
Cadillac,ATS,2017,regular unleaded,335.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,27,19,1624,45995
Buick,LeSabre,2005,regular unleaded,205.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,27,18,155,32385
Honda,Civic,2016,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,41,31,2202,21040
Toyota,Matrix,2012,regular unleaded,158.0,4.0,AUTOMATIC,all wheel drive,4.0,Hatchback,Compact,4dr Hatchback,26,20,2031,21715
Ford,Shelby GT500,2014,premium unleaded (required),662.0,8.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,High-Performance",Midsize,Coupe,24,15,5657,55110
BMW,X6 M,2017,premium unleaded (required),567.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Factory Tuner,Luxury,High-Performance",Midsize,4dr SUV,19,14,3916,102200
Hyundai,Tucson,2016,regular unleaded,175.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Crossover,Compact,4dr SUV,28,24,1439,31300
Mercedes-Benz,500-Class,1992,regular unleaded,322.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,16,13,617,3245
Volkswagen,Eos,2015,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,,Compact,Convertible,30,22,873,42745
Volkswagen,Passat,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,24,873,28115
Toyota,Sienna,2015,regular unleaded,266.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Passenger Minivan,25,18,2031,31430
Land Rover,Discovery Series II,2001,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Luxury,Midsize,4dr SUV,16,12,258,34350
Oldsmobile,Ciera,1996,regular unleaded,120.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,29,21,26,2000
Land Rover,Range Rover Evoque,2016,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,2.0,"Crossover,Luxury",Compact,2dr SUV,30,21,258,46675
Suzuki,Esteem,2002,regular unleaded,122.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,31,24,481,13799
Mitsubishi,Lancer Evolution,2015,premium unleaded (required),291.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Factory Tuner,Performance",Compact,Sedan,22,17,436,38995
Nissan,Murano,2017,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,28,21,2009,39180
Dodge,Neon,2004,premium unleaded (required),225.0,4.0,MANUAL,front wheel drive,4.0,"Factory Tuner,Performance",Compact,Sedan,28,19,1851,20450
Buick,Roadmaster,1995,regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Wagon,23,15,155,2000
Volkswagen,Rabbit,2009,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,29,20,873,17400
Cadillac,Eldorado,2002,regular unleaded,300.0,8.0,AUTOMATIC,front wheel drive,2.0,Luxury,Large,Coupe,25,16,1624,47660
Dodge,Grand Caravan,2016,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Passenger Minivan,25,17,1851,26195
Suzuki,SX4,2013,regular unleaded,148.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Hatchback",Compact,4dr Hatchback,29,23,481,20449
Volvo,XC90,2016,premium unleaded (recommended),316.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Large,4dr SUV,25,20,870,65700
Porsche,Panamera,2016,premium unleaded (required),570.0,8.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,24,15,1715,200500
Cadillac,CTS,2015,premium unleaded (recommended),272.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Large,Sedan,30,20,1624,51270
Porsche,911,2017,premium unleaded (required),420.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,1715,103400
Pontiac,Firebird,2000,regular unleaded,305.0,8.0,UNKNOWN,rear wheel drive,2.0,"Factory Tuner,Performance",Midsize,Convertible,23,15,210,9567
GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,17,13,549,31965
Ford,Expedition,2017,regular unleaded,365.0,6.0,AUTOMATIC,four wheel drive,4.0,,Large,4dr SUV,19,15,5657,61061
Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),220.0,4.0,AUTOMATIC,front wheel drive,2.0,"Flex Fuel,Luxury",Compact,Convertible,28,18,376,40840
Oldsmobile,Alero,2003,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,27,18,26,22935
Chevrolet,Silverado 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,19,14,1385,25915
Dodge,Challenger,2017,premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,High-Performance",Large,Coupe,23,14,1851,42795
GMC,Vandura,1994,regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,3.0,,Large,Cargo Van,16,12,549,2000
Mercedes-Benz,S-Class,2017,premium unleaded (required),449.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,25,16,617,99600
Mercedes-Benz,GL-Class,2015,premium unleaded (required),550.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Factory Tuner,Luxury,High-Performance",Large,4dr SUV,17,13,617,119450
Mitsubishi,3000GT,1999,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,23,17,436,5306
Subaru,WRX,2016,premium unleaded (recommended),268.0,4.0,MANUAL,all wheel drive,4.0,Performance,Compact,Sedan,27,20,640,26595
Lotus,Evora 400,2017,premium unleaded (required),400.0,6.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,39,21,613,91900
Infiniti,Q70,2014,premium unleaded (recommended),360.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Hybrid",Large,Sedan,34,29,190,55650
Buick,Enclave,2016,regular unleaded,288.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,155,47515
Volkswagen,Beetle Convertible,2015,diesel,150.0,4.0,MANUAL,front wheel drive,2.0,Diesel,Compact,Convertible,40,30,873,29095
Audi,Q5,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,4dr SUV,31,24,3105,50200
Porsche,911,2015,premium unleaded (required),350.0,6.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,26,18,1715,101600
BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Midsize,Convertible,29,20,3916,86600
Lamborghini,Gallardo,2014,premium unleaded (required),560.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Exotic,High-Performance",Compact,Convertible,20,13,1158,225400
Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,2202,28050
Ford,Fusion Hybrid,2017,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Midsize,Sedan,41,43,5657,25675
Chevrolet,TrailBlazer,2008,regular unleaded,285.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,20,14,1385,29880
GMC,S-15,1990,regular unleaded,105.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,Regular Cab Pickup,25,21,549,2000
Ferrari,456M,2001,premium unleaded (required),442.0,12.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,15,9,2774,219775
Chevrolet,TrailBlazer,2009,regular unleaded,285.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,14,1385,29155
GMC,Sierra 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,22,17,549,30610
Saab,9-5,2009,premium unleaded (recommended),260.0,4.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,27,17,376,38380
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Compact,Convertible,29,17,1385,59400
GMC,Sierra 1500,2016,regular unleaded,355.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Crew Cab Pickup,23,16,549,51090
Cadillac,CTS,2017,premium unleaded (recommended),268.0,4.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,29,21,1624,53695
Cadillac,CTS Coupe,2014,regular unleaded,318.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,27,18,1624,47995
Nissan,Xterra,2014,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,20,15,2009,31370
